Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kab. Aceh Tengah,609648.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,613001.0,612722.0
Meulaboh,496865.0,496865.0,496865.0,496865.0,499697.0,499697.0,499697.0,499697.0,500497.0,500497.0,500497.0,500497.0,499020.0
Kab. Aceh Tamiang,337004.0,337004.0,337004.0,337004.0,337004.0,337004.0,337004.0,337004.0,338218.0,338218.0,338218.0,338218.0,337409.0
Kota Banda Aceh,845362.0,845362.0,845362.0,845362.0,846292.0,846292.0,846292.0,846292.0,847307.0,850781.0,850781.0,850781.0,847189.0
Kota Lhokseumawe,482091.0,482091.0,482091.0,482091.0,482091.0,491203.0,497687.0,503360.0,506330.0,509318.0,509318.0,509318.0,494749.0
Kab. Labuhanbatu,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0,448605.0
Kab. Karo,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0,344610.0
Kab. Deli Serdang,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0,458928.0
Kota Sibolga,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0,405586.0
Kota Pematang Siantar,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0,313950.0
Kota Medan,837030.0,837030.0,837030.0,837030.0,837030.0,837030.0,837030.0,837030.0,837030.0,837030.0,838620.0,838620.0,837295.0
Kota Padangsidimpuan,421089.0,421089.0,424879.0,424879.0,424879.0,424879.0,424879.0,424879.0,424879.0,424879.0,424879.0,424879.0,424248.0
Kota Gunungsitoli,578053.0,578053.0,578053.0,578053.0,578053.0,578053.0,583776.0,588972.0,592564.0,592564.0,592564.0,592564.0,584277.0
Kab. Dharmasraya,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0,524506.0
Kab. Pasaman Barat,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0,389948.0
Kota Padang,629647.0,629647.0,629647.0,629647.0,630843.0,630843.0,630843.0,630843.0,630843.0,632609.0,632609.0,632609.0,630886.0
Kota Bukittinggi,723942.0,723942.0,723942.0,723942.0,723942.0,729444.0,729444.0,729444.0,729444.0,729444.0,729444.0,729444.0,727151.0
Tembilahan,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0,597138.0
Kab. Kampar,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0,646423.0
Kota Pekanbaru,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0,1082959.0
Kota Dumai,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0,952238.0
Kab. Kerinci,510785.0,510785.0,514003.0,514003.0,514003.0,516162.0,516162.0,519827.0,519827.0,519827.0,519827.0,519827.0,516253.0
Muara Bungo,577933.0,577933.0,577933.0,577933.0,577933.0,579783.0,586624.0,586624.0,586624.0,586624.0,586624.0,586624.0,582433.0
Kota Jambi,448076.0,448076.0,448076.0,448076.0,448076.0,448076.0,450855.0,455453.0,460418.0,460418.0,460418.0,460418.0,453036.0
Kab. Ogan Komering Ilir,264436.0,264436.0,264436.0,264436.0,264436.0,264436.0,272978.0,279201.0,279201.0,279201.0,279201.0,279201.0,271300.0
Kab. Muara Enim,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0,659441.0
Kota Palembang,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0,559645.0
Kota Lubuk Linggau,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0,512163.0
Kab. Muko Muko,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0,479292.0
