Kabupaten-Kota,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Ags,Sep,Okt,Nov,Des,Rata-Rata
Kab. Aceh Tengah,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0,447214.0
Meulaboh,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0,405360.0
Kab. Aceh Tamiang,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0,226841.0
Kota Banda Aceh,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0,576900.0
Kota Lhokseumawe,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0,521284.0
Kab. Labuhanbatu,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0,432382.0
Kab. Karo,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0,444627.0
Kab. Deli Serdang,429954.0,429954.0,437177.0,437177.0,437177.0,437177.0,437177.0,448893.0,448893.0,451093.0,451093.0,451093.0,441405.0
Kota Sibolga,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0,300000.0
Kota Pematang Siantar,331866.0,331866.0,331866.0,331866.0,331866.0,331866.0,331866.0,331866.0,337773.0,338415.0,338415.0,338415.0,333995.0
Kota Medan,510773.0,510773.0,512356.0,512356.0,512356.0,512356.0,512356.0,512356.0,512356.0,512356.0,512356.0,512356.0,512092.0
Kota Padangsidimpuan,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0,241355.0
Kota Gunungsitoli,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0,295804.0
Kab. Dharmasraya,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0,392515.0
Kab. Pasaman Barat,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0,374593.0
Kota Padang,512982.0,512982.0,512982.0,512982.0,517599.0,520032.0,520032.0,520032.0,526844.0,526844.0,526844.0,526844.0,519750.0
Kota Bukittinggi,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0,623732.0
Tembilahan,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0,435071.0
Kab. Kampar,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0,478992.0
Kota Pekanbaru,495181.0,495181.0,495181.0,495181.0,495875.0,495875.0,496767.0,497661.0,497661.0,499055.0,499554.0,502002.0,497098.0
Kota Dumai,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0,548291.0
Kab. Kerinci,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0,264575.0
Muara Bungo,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0,539766.0
Kota Jambi,727422.0,727422.0,727422.0,727422.0,727422.0,727422.0,727422.0,727422.0,736660.0,736660.0,736660.0,736660.0,730502.0
Kab. Ogan Komering Ilir,326779.0,326779.0,326779.0,326779.0,326779.0,326779.0,327368.0,327990.0,329170.0,329170.0,329170.0,329170.0,327726.0
Kab. Muara Enim,515640.0,515640.0,515640.0,515640.0,515640.0,518270.0,518270.0,518270.0,518270.0,518270.0,518270.0,518270.0,517174.0
Kota Palembang,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0,524191.0
Kota Lubuk Linggau,332496.0,332496.0,332496.0,332496.0,334690.0,336297.0,336297.0,338247.0,340209.0,340209.0,340209.0,340209.0,336363.0
