id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude
,1,0.178785948581,0.0013982123239,11,Aceh,1101,Simeulue,11,Aceh,1109,Simeulue,2017,Kabupaten,184128.28429,1101,1853.66626,2.61330075393744,96.08567649916559
,2,0.323871308129,0.000451444953495,11,Aceh,1102,Aceh Singkil,11,Aceh,1110,Aceh Singkil,2017,Kabupaten,189033.63364,1102,1903.05477,2.349932873671207,97.84708811266563
,3,0.586952082636,0.0112923138747,11,Aceh,1103,Aceh Selatan,11,Aceh,1101,Aceh Selatan,2017,Kabupaten,422908.53186,1103,4257.49947,3.162864197205998,97.43535097868705
,4,0.04737248781,8.39232022851e-05,11,Aceh,1104,Aceh Tenggara,11,Aceh,1102,Aceh Tenggara,2017,Kabupaten,416109.03779,1104,4189.03678,3.369588141375133,97.69553624399177
,5,0.396782424797,0.00411496748175,11,Aceh,1105,Aceh Timur,11,Aceh,1103,Aceh Timur,2017,Kabupaten,547603.9526,1105,5512.70431,4.628775218253062,97.62863899191314
,6,0.469929472247,0.00806108017726,11,Aceh,1106,Aceh Tengah,11,Aceh,1104,Aceh Tengah,2017,Kabupaten,473541.55451,1106,4767.13045,4.529983163965492,96.85903292978816
,7,0.0323595728319,3.930769233e-05,11,Aceh,1107,Aceh Barat,11,Aceh,1105,Aceh Barat,2017,Kabupaten,282705.70724,1107,2845.99483,4.456642791653158,96.18545294650336
,8,0.0979731426809,0.000370807604765,11,Aceh,1108,Aceh Besar,11,Aceh,1106,Aceh Besar,2017,Kabupaten,292286.97727,1108,2942.39515,5.37993835388722,95.51560772870164
,9,0.0350841278621,7.59353863498e-05,11,Aceh,1109,Pidie,11,Aceh,1107,Pidie,2017,Kabupaten,299911.79648,1109,3019.17248,5.06823430261328,96.00719580581877
,10,0.053458004538,0.00014940273605,11,Aceh,1110,Bireuen,11,Aceh,1111,Bireuen,2017,Kabupaten,180525.4741,1110,1817.32532,5.093660197110013,96.60626620483842
,11,0.370565131927,0.00731839260094,11,Aceh,1111,Aceh Utara,11,Aceh,1108,Aceh Utara,2017,Kabupaten,273106.57446,1111,2749.33104,5.014810884562706,97.18200393770853
,12,0.0189759385658,1.1928305305e-05,11,Aceh,1112,Aceh Barat Daya,11,Aceh,1112,Aceh Barat Daya,2017,Kabupaten,190156.46783,1112,1914.3232,3.824899346498327,96.87832041328231
,13,0.649383098866,0.00497393700194,11,Aceh,1113,Gayo Lues,11,Aceh,1113,Gayo Lues,2017,Kabupaten,547715.55082,1113,5513.89054,3.981926876475737,97.35753019373718
,14,0.763784696116,0.0255382783082,11,Aceh,1114,Aceh Tamiang,11,Aceh,1116,Aceh Tamiang,2017,Kabupaten,215470.93361,1114,2169.15198,4.2277264896274405,97.9768813223268
,15,0.440656162651,0.00978442836547,11,Aceh,1115,Nagan Raya,11,Aceh,1115,Nagan Raya,2017,Kabupaten,344191.03629,1115,3464.98505,4.1554101886194985,96.50678160781855
,16,0.164817111069,0.00103050384511,11,Aceh,1116,Aceh Jaya,11,Aceh,1114,Aceh Jaya,2017,Kabupaten,390574.20338,1116,3931.87766,4.832183582492392,95.67870633494321
,17,0.0801783541198,0.000173052763235,11,Aceh,1117,Bener Meriah,11,Aceh,1117,Bener Meriah,2017,Kabupaten,194507.95507,1117,1958.09783,4.7673142812389795,97.00711786140103
,18,0.0500258084861,7.66467296951e-05,11,Aceh,1118,Pidie Jaya,11,Aceh,1118,Pidie Jaya,2017,Kabupaten,95005.65299,1118,956.40833,5.1247142162773915,96.21353375772543
,19,0.0395547170694,5.25580323199e-05,11,Aceh,1171,Kota Banda Aceh,11,Aceh,1171,Kota Banda Aceh,2017,Kota,5584.86697,1171,56.22153,5.5582585458478375,95.32792893073973
,20,0.201652021201,0.00183532878172,11,Aceh,1172,Kota Sabang,11,Aceh,1172,Kota Sabang,2017,Kota,12417.51364,1172,125.00336,5.837818274585294,95.30560099195452
