id,OBJECTID,Shape_Leng,Shape_Area,A1C_BPS,A1N_BPS,A2C_BPS,A2N_BPS,A1C_SIAK,A1N_SIAK,A2C_SIAK,A2N_SIAK,YEAR,Type,Hectares,A2TEXT,SquareKM,latitude,longitude,provinsi_clean,Provinsi_x,2022_x,2023_x,Ketahanan Bangunan.csv.xl,Tembok,Plesteran Anyaman Bambu/Kawat,Kayu/Papan,Anyaman Bambu,Batang Kayu,Bambu,Lainnya,Listrik,Gas,Minyak Tanah,Kayu Bakar,Briket/Arang/Lainnya,Tidak Memasak,Milik Sendiri,Kontrak/Sewa,Bebas Sewa,Dinas,Pengeluaran Bahan Bakar.c,Listrik PLN,Listrik Non-PLN,Bukan Listrik,Sewa/Kontrak Rumah,Pemeliharaan dan Perbaikan Ringan,Air,Bahan Bakar,Kebutuhan Lainnya untuk Rumah,SHM atas Nama ART,SHM Bukan atas Nama ART dengan Perjanjian,SHM Bukan atas Nama ART tanpa Perjanjian,Air Kemasan Bermerk,Air Isi Ulang,Leding,Sumur Bor/Pompa,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Air Permukaan,Air Hujan,Akses Air Minum Layak.csv,Beton,Genteng,Seng,Asbes,Kayu/Sirap,Jerami/Ijuk/Daun-Daunan/Rumbia,Akses Sanitasi Layak.csv.,Pengeluaran Air.csv.xlsx,Rumah Layak Huni.csv.xlsx,Marmer/Granit,Keramik,Parket/Vinil/Karpet,Ubin/Tegel/Teraso,Semen/Bata Merah,Tanah,Pengeluaran Gas.csv.xlsx,Ada Digunakan hanya ART Sendiri,Ada Digunakan bersama ART Rumah Tangga Tertentu,Ada di MCK Komunal,Ada di MCK Umum,Ada ART Tidak Menggunakan,Tidak Ada Fasilitas,Pengeluaran Perbaikan.csv,Pengeluaran Listrik.csv.x,Pengeluaran Sewa.csv.xlsx,Fasilitas Cuci Tangan.csv,≥7.2 m2,≥10 m2,Provinsi_y,2022_y,2023_y,2024,jarak_ke_provinsi
,1,0.178785948581,0.0013982123239,11,Aceh,1101,Simeulue,11,Aceh,1109,Simeulue,2017,Kabupaten,184128.28429,1101,1853.66626,2.61330075393744,96.0856764991656,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,2,0.323871308129,0.000451444953495,11,Aceh,1102,Aceh Singkil,11,Aceh,1110,Aceh Singkil,2017,Kabupaten,189033.63364,1102,1903.05477,2.349932873671207,97.84708811266565,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,3,0.586952082636,0.0112923138747,11,Aceh,1103,Aceh Selatan,11,Aceh,1101,Aceh Selatan,2017,Kabupaten,422908.53186,1103,4257.49947,3.162864197205998,97.43535097868704,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,4,0.04737248781,8.39232022851e-05,11,Aceh,1104,Aceh Tenggara,11,Aceh,1102,Aceh Tenggara,2017,Kabupaten,416109.03779,1104,4189.03678,3.369588141375133,97.69553624399175,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,5,0.396782424797,0.00411496748175,11,Aceh,1105,Aceh Timur,11,Aceh,1103,Aceh Timur,2017,Kabupaten,547603.9526,1105,5512.70431,4.628775218253062,97.62863899191314,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,6,0.469929472247,0.00806108017726,11,Aceh,1106,Aceh Tengah,11,Aceh,1104,Aceh Tengah,2017,Kabupaten,473541.55451,1106,4767.13045,4.529983163965492,96.85903292978816,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,7,0.0323595728319,3.930769233e-05,11,Aceh,1107,Aceh Barat,11,Aceh,1105,Aceh Barat,2017,Kabupaten,282705.70724,1107,2845.99483,4.456642791653158,96.18545294650336,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,8,0.0979731426809,0.000370807604765,11,Aceh,1108,Aceh Besar,11,Aceh,1106,Aceh Besar,2017,Kabupaten,292286.97727,1108,2942.39515,5.37993835388722,95.51560772870164,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,9,0.0350841278621,7.59353863498e-05,11,Aceh,1109,Pidie,11,Aceh,1107,Pidie,2017,Kabupaten,299911.79648,1109,3019.17248,5.06823430261328,96.00719580581875,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
,10,0.053458004538,0.00014940273605,11,Aceh,1110,Bireuen,11,Aceh,1111,Bireuen,2017,Kabupaten,180525.4741,1110,1817.32532,5.093660197110013,96.60626620483842,ACEH,Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949.0,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840.0,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597.0,29477.0,4586.0,72.94,93.04,80.45,Aceh,5615.0,4420.0,4586.0,0
