kabupaten_kota,provinsi,latitude,longitude,sewa_2024,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln,latitude,longitude
Simeulue,Aceh,2.61330075393744,96.0856764991656,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,2.61330075393744,96.0856764991656
Aceh Singkil,Aceh,2.349932873671207,97.84708811266565,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,2.349932873671207,97.84708811266565
Aceh Selatan,Aceh,3.162864197205998,97.43535097868704,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,3.162864197205998,97.43535097868704
Aceh Tenggara,Aceh,3.369588141375133,97.69553624399175,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,3.369588141375133,97.69553624399175
Aceh Timur,Aceh,4.628775218253062,97.62863899191314,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,4.628775218253062,97.62863899191314
Aceh Tengah,Aceh,4.529983163965492,96.85903292978816,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,4.529983163965492,96.85903292978816
Aceh Barat,Aceh,4.456642791653158,96.18545294650336,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,4.456642791653158,96.18545294650336
Aceh Besar,Aceh,5.37993835388722,95.51560772870164,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,5.37993835388722,95.51560772870164
Pidie,Aceh,5.06823430261328,96.00719580581875,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,5.06823430261328,96.00719580581875
Bireuen,Aceh,5.093660197110013,96.60626620483842,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,5.093660197110013,96.60626620483842
Aceh Utara,Aceh,5.014810884562706,97.18200393770852,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,5.014810884562706,97.18200393770852
Aceh Barat Daya,Aceh,3.824899346498327,96.87832041328232,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,3.824899346498327,96.87832041328232
Gayo Lues,Aceh,3.981926876475737,97.35753019373718,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,3.981926876475737,97.35753019373718
Aceh Tamiang,Aceh,4.2277264896274405,97.9768813223268,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,4.2277264896274405,97.9768813223268
Nagan Raya,Aceh,4.1554101886194985,96.50678160781855,4586.0,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73,4.1554101886194985,96.50678160781855
