Provinsi,2022,2023,Ketahanan Bangunan.csv.xl,Tembok,Plesteran Anyaman Bambu/Kawat,Kayu/Papan,Anyaman Bambu,Batang Kayu,Bambu,Lainnya,Listrik,Gas,Minyak Tanah,Kayu Bakar,Briket/Arang/Lainnya,Tidak Memasak,Milik Sendiri,Kontrak/Sewa,Bebas Sewa,Dinas,Pengeluaran Bahan Bakar.c,Listrik PLN,Listrik Non-PLN,Bukan Listrik,Sewa/Kontrak Rumah,Pemeliharaan dan Perbaikan Ringan,Air,Bahan Bakar,Kebutuhan Lainnya untuk Rumah,SHM atas Nama ART,SHM Bukan atas Nama ART dengan Perjanjian,SHM Bukan atas Nama ART tanpa Perjanjian,Air Kemasan Bermerk,Air Isi Ulang,Leding,Sumur Bor/Pompa,Sumur Terlindung,Sumur Tak Terlindung,Mata Air Terlindung,Mata Air Tak Terlindung,Air Permukaan,Air Hujan,Akses Air Minum Layak.csv,Beton,Genteng,Seng,Asbes,Kayu/Sirap,Jerami/Ijuk/Daun-Daunan/Rumbia,Akses Sanitasi Layak.csv.,Pengeluaran Air.csv.xlsx,Rumah Layak Huni.csv.xlsx,Marmer/Granit,Keramik,Parket/Vinil/Karpet,Ubin/Tegel/Teraso,Semen/Bata Merah,Tanah,Pengeluaran Gas.csv.xlsx,Ada Digunakan hanya ART Sendiri,Ada Digunakan bersama ART Rumah Tangga Tertentu,Ada di MCK Komunal,Ada di MCK Umum,Ada ART Tidak Menggunakan,Tidak Ada Fasilitas,Pengeluaran Perbaikan.csv,Pengeluaran Listrik.csv.x,Pengeluaran Sewa.csv.xlsx,Fasilitas Cuci Tangan.csv,≥7.2 m2,≥10 m2
Aceh,93.34,95.45,95.23,59.72,0.2,38.58,0.38,0.36,0.09,0.67,0.41,95.89,1.86,1.48,,0.36,85.14,4.0,9.71,1.15,11949,99.73,0.14,0.14,0.29,0.27,0.28,1.05,0.21,64.38,2.29,1.29,1.19,45.04,9.57,8.36,22.58,2.48,7.2,1.72,1.5,0.27,90.08,2.24,2.71,92.47,1.19,0.26,0.92,81.1,3840,67.76,3.02,27.14,0.37,0.56,59.92,1.5,10396.0,86.39,3.98,0.14,1.71,0.27,7.5,4597,29477,4586,72.94,93.04,80.45
Sumatera Utara,89.31,92.44,93.81,73.8,0.35,23.91,1.24,0.27,0.13,0.31,0.46,93.69,0.78,4.86,,0.22,72.93,9.5,15.19,2.37,14339,99.23,0.5,0.27,0.71,0.28,0.39,1.25,0.25,44.04,1.59,2.28,2.53,39.14,12.32,21.29,10.19,2.32,7.7,1.32,0.99,2.06,92.94,2.09,2.15,91.69,2.19,0.11,0.56,85.73,6541,73.47,1.33,46.58,0.03,1.01,44.69,0.93,12343.0,91.3,3.25,0.13,0.89,0.05,4.38,4740,42018,9789,74.45,92.99,84.17
Sumatera Barat,97.36,97.7,97.68,79.58,1.18,18.59,0.15,0.21,0.11,0.19,0.37,88.27,1.53,9.09,,0.74,72.63,7.14,18.86,1.33,14932,98.95,0.44,0.61,0.54,0.29,0.38,1.18,0.24,33.04,2.76,5.21,1.15,47.02,10.94,7.62,13.65,2.63,10.61,3.89,1.28,1.2,86.85,1.13,1.85,95.55,0.87,0.06,0.31,72.82,6238,62.29,1.88,34.26,0.16,1.21,55.8,0.33,11917.0,83.5,6.62,0.67,2.17,0.17,6.87,5595,36090,8221,86.83,95.46,86.96
Riau,94.23,96.43,96.31,66.3,1.87,30.77,0.11,0.53,,0.36,0.15,96.68,0.95,1.6,0.44,0.19,78.46,7.98,9.03,4.54,15153,96.6,2.92,0.48,0.74,0.32,0.14,1.12,0.27,56.74,2.87,2.2,1.86,55.57,0.37,13.7,10.04,1.12,2.6,0.44,0.08,14.17,92.24,1.46,2.73,93.11,2.13,0.18,0.32,86.32,2296,74.8,2.1,37.88,0.35,1.62,39.38,0.45,13241.0,95.7,2.27,0.14,0.56,,1.31,6205,54188,10548,75.19,94.63,84.78
Jambi,95.21,95.95,95.58,71.92,0.57,26.45,,0.4,0.11,0.53,0.15,94.1,1.27,4.28,0.1,0.09,89.27,2.84,7.07,0.82,18442,98.9,0.68,0.42,0.21,0.32,0.38,1.49,0.28,65.45,4.38,4.34,2.42,28.03,9.59,7.64,28.19,9.0,3.62,1.0,3.05,7.43,82.16,1.82,17.88,77.68,2.3,0.08,,83.97,5687,66.21,2.32,33.99,0.48,0.79,44.89,0.84,15079.0,90.78,3.66,0.17,0.54,,4.76,5593,44898,2806,73.96,96.34,88.01
Sumatera Selatan,90.04,90.56,90.45,70.85,0.34,27.96,0.18,0.24,0.08,0.35,0.33,97.21,0.18,2.22,,0.06,85.9,3.2,10.32,0.57,15897,97.02,2.59,0.39,0.3,0.35,0.42,1.49,0.29,57.4,4.01,3.49,1.57,23.18,15.41,15.51,29.06,4.17,2.1,0.96,1.94,6.07,87.23,2.09,52.73,37.29,6.87,0.17,0.38,82.36,6472,63.21,1.9,41.74,0.32,1.0,33.26,1.43,12578.0,88.57,4.31,0.57,1.87,0.09,4.59,5838,37375,3187,77.02,91.31,80.11
Bengkulu,94.33,95.36,95.61,74.61,4.74,19.02,0.32,0.3,0.41,0.6,0.29,96.02,0.08,3.39,,,89.76,3.49,5.8,0.94,16643,99.75,0.13,0.12,0.26,0.32,0.22,1.45,0.24,74.29,5.87,5.12,0.33,15.77,9.7,13.03,28.24,20.72,7.16,3.11,1.37,0.23,72.1,1.05,4.06,92.35,1.85,,,83.01,3571,56.52,1.85,49.83,0.3,1.64,41.15,0.55,12814.0,93.24,2.05,,0.19,0.09,4.31,9129,33770,3399,81.71,95.66,86.43
Lampung,85.7,87.7,89.45,86.63,,11.41,1.4,,0.14,0.38,0.59,93.94,,5.34,,0.07,93.05,1.98,4.83,0.14,15952,99.21,0.72,0.06,0.2,0.32,0.15,1.54,0.27,67.78,5.6,6.48,3.65,21.18,2.07,15.98,39.41,10.47,4.26,2.11,0.71,0.16,84.51,0.24,87.2,4.63,7.56,,,85.44,1910,65.96,2.05,41.83,,1.45,50.36,1.94,12047.0,95.73,2.81,0.05,0.36,,1.04,5306,33581,2399,80.97,98.51,94.45
Kep. Bangka Belitung,42.02,43.08,41.99,89.16,,10.42,,,,,0.12,97.71,0.64,1.39,,0.13,89.65,2.74,6.54,1.06,17904,99.66,0.21,,0.22,0.19,0.18,1.11,0.25,65.32,2.09,3.03,4.76,61.03,1.19,8.52,18.49,4.16,1.05,0.58,0.21,,82.97,1.61,8.5,32.25,57.49,,0.1,94.16,3176,30.72,1.62,67.15,,0.82,29.1,,16825.0,95.84,1.61,0.19,0.58,,1.72,4573,59800,3524,88.7,96.72,91.11
Kep. Riau,60.74,63.31,65.66,88.5,0.6,9.27,,0.08,,1.55,2.65,88.52,6.17,0.39,,2.2,75.16,18.78,5.59,0.46,14742,98.39,1.52,0.09,1.91,0.33,0.87,0.88,0.23,31.24,1.22,0.82,21.92,58.93,5.68,2.47,6.71,2.06,1.33,0.64,0.17,,94.71,3.26,7.53,55.92,32.77,,0.19,91.23,18145,57.19,2.48,70.83,0.35,0.6,18.44,0.04,12878.0,95.81,2.93,,0.61,,0.54,8392,97513,37548,87.0,95.18,89.78
