provinsi,kabupaten_kota,latitude,longitude,prediksi_sewa,rumah_layak_huni,ketahanan_bangunan,luas_lantai_7_2,akses_air_minum,akses_sanitasi,cuci_tangan,status_milik_sendiri,status_kontrak_sewa,listrik_pln
Aceh,Simeulue,2.61330075393744,96.0856764991656,-19447.82974310184,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Singkil,2.349932873671207,97.84708811266565,-19392.29459857762,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Selatan,3.162864197205998,97.43535097868704,-19464.75958797117,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Tenggara,3.369588141375133,97.69553624399175,-19476.001783685504,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Timur,4.628775218253062,97.62863899191314,-19577.00495159355,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Tengah,4.529983163965492,96.85903292978816,-19584.338730012896,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Barat,4.456642791653158,96.18545294650336,-19591.796523106867,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Besar,5.37993835388722,95.51560772870164,-19678.081279805217,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Pidie,5.06823430261328,96.00719580581875,-19643.724465769097,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Bireuen,5.093660197110013,96.60626620483842,-19633.940653855374,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Utara,5.014810884562706,97.18200393770852,-19616.361163644437,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Barat Daya,3.824899346498327,96.87832041328232,-19528.139676599712,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Gayo Lues,3.981926876475737,97.35753019373718,-19531.13460526319,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Tamiang,4.2277264896274405,97.9768813223268,-19538.397720496152,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Nagan Raya,4.1554101886194985,96.50678160781855,-19561.621393449208,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Aceh Jaya,4.832183582492392,95.6787063349432,-19631.505586366446,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Bener Meriah,4.76731428123898,97.00711786140104,-19600.211441887204,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Pidie Jaya,5.124714216277392,96.21353375772544,-19644.13266166866,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Kota Banda Aceh,5.5582585458478375,95.32792893073972,-19695.89403391363,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
Aceh,Kota Sabang,5.837818274585294,95.30560099195452,-19718.465565879862,67.76,95.23,93.04,90.08,81.1,72.94,85.14,4.0,99.73
