Kabupaten,Latitude,Longitude,X_jarak,X_lebar_jalan,Y
Kab. Aceh Tengah,4.529982972,96.85903311,204.1,6.0,612722.0
Meulaboh,,,,5.0,499020.0
Kab. Aceh Tamiang,4.227726449,97.97688137,328.49,5.0,337409.0
Kota Banda Aceh,,,,9.0,847189.0
Kota Lhokseumawe,,,,8.0,494749.0
Kab. Labuhanbatu,2.279377815,100.056501,,5.0,448605.0
Kab. Karo,3.120679965,98.29603228,,5.0,344610.0
Kab. Deli Serdang,3.480873175,98.694354,,5.0,458928.0
Kota Sibolga,,,,8.0,405586.0
Kota Pematang Siantar,,,,8.0,313950.0
Kota Medan,,,,9.0,837295.0
Kota Padangsidimpuan,,,,8.0,424248.0
Kota Gunungsitoli,,,,9.0,584277.0
Kab. Dharmasraya,-1.130987214,101.5541936,,6.0,524506.0
Kab. Pasaman Barat,0.20695257,99.67811642,,5.0,389948.0
Kota Padang,,,,9.0,630886.0
Kota Bukittinggi,,,,9.0,727151.0
Tembilahan,,,,6.0,597138.0
Kab. Kampar,0.327175164,101.0708798,,6.0,646423.0
Kota Pekanbaru,,,,10.0,1082959.0
Kota Dumai,,,,9.0,952238.0
Kab. Kerinci,-2.03690692,101.4694243,,6.0,516253.0
Muara Bungo,,,,6.0,582433.0
Kota Jambi,,,,8.0,453036.0
Kab. Ogan Komering Ilir,-3.343173096,105.390681,,5.0,271300.0
Kab. Muara Enim,-3.635834516,104.0015653,,6.0,659441.0
Kota Palembang,,,,9.0,559645.0
Kota Lubuk Linggau,,,,9.0,512163.0
Kab. Muko Muko,-2.701394375,101.4855959,,5.0,479292.0
Kota Bengkulu,,,,9.0,712302.0
Kab. Lampung Timur,-5.136651316,105.6490368,54.11,5.0,432211.0
Kab. Mesuji,-4.023735409,105.377875,,6.0,635084.0
Kota Bandar Lampung,,,,9.0,581668.0
Kota Metro,,,,8.0,487605.0
Tanjung Pandan,,,,6.0,521750.0
Kab. Bangka Barat,-1.890861132,105.4894531,74.24,6.0,707107.0
Kab. Belitung Timur,-2.907114018,108.0523758,232.17,6.0,734847.0
Kota Pangkal Pinang,,,,10.0,1385641.0
Kab. Karimun,0.803263341,103.4257943,,7.0,1018234.0
Kota Batam,,,,10.0,1181118.0
Kota Tanjung Pinang,,,,9.0,621503.0
DKI Jakarta,,,,7.0,996789.0
Kab. Bandung,-7.099968711,107.6108412,20.2,8.0,1182274.0
Kab. Majalengka,-6.815865345,108.2578116,,5.0,443227.0
Kab. Subang,-6.483036497,107.732246,,6.0,998429.0
Kota Bogor,-6.559979466,106.7675308,102.11,11.0,1301583.0
Kota Sukabumi,-7.076187589,106.7073077,,9.0,697682.0
Kota Bandung,-7.099968711,107.6108412,20.2,10.0,733838.0
Kota Cirebon,-6.745639062,108.5515647,,9.0,735706.0
Kota Bekasi,-6.215388666,107.1206598,95.22,11.0,1410801.0
Kota Depok,,,,11.0,1259276.0
Kota Tasikmalaya,-7.496705827,108.1412965,,10.0,1139231.0
Cilacap,-7.490962882,108.8904128,,6.0,589694.0
Purwokerto,,,,6.0,941599.0
Kab. Wonosobo,-7.415535227,109.907223,,5.0,498161.0
Kab. Wonogiri,-7.920201667,111.0004036,,5.0,498570.0
Kab. Rembang,-6.775462784,111.461275,,6.0,579608.0
Kudus,-6.789068063,110.8697218,,6.0,759392.0
Kota Surakarta,,,,9.0,880383.0
Kota Semarang,-7.272031349,110.4752654,34.38,9.0,720892.0
Kota Tegal,-7.031102081,109.1584051,139.22,9.0,842213.0
Kab. Gunungkidul,-7.994236636,110.612061,,6.0,639855.0
Kota Yogyakarta,,,,9.0,545616.0
Kab. Tulungagung,-8.113254927,111.887202,,6.0,748718.0
Jember,-8.235978533,113.6556952,,6.0,604916.0
Banyuwangi,-8.36492651,114.205524,,5.0,278561.0
Kab. Bojonegoro,-7.25543276,111.8098374,,5.0,440744.0
Kab. Gresik,-6.92687014,112.5581483,,6.0,812017.0
Sumenep,-6.988517995,113.8055601,,5.0,428626.0
Kota Kediri,-7.828871403,112.089636,96.63,10.0,870113.0
Kota Malang,-8.126857019,112.6410753,96.92,10.0,849308.0
Kota Probolinggo,-7.866519797,113.3208669,,8.0,372283.0
Kota Madiun,-7.624222278,111.6457162,,8.0,473027.0
Kota Surabaya,,,,11.0,1113123.0
Kab. Pandeglang,-6.590230673,105.7429821,,6.0,579486.0
Kab. Lebak,-6.642128896,106.2128536,,7.0,1002594.0
Kota Tangerang,-6.174631025,106.5185128,39.39,11.0,2083333.0
Kota Cilegon,,,,10.0,1107828.0
Kota Serang,-6.142218832,106.1466548,3.01,9.0,637165.0
Kab. Tabanan,-8.42822166,115.0787775,,6.0,896242.0
Kab. Badung,-8.583467599,115.1884053,,8.0,1731458.0
Singaraja,,,,6.0,750139.0
Kota Denpasar,,,,11.0,1609186.0
Kab. Sumbawa,-8.703221236,117.4849382,151.18,6.0,655060.0
Kota Mataram,,,,9.0,937613.0
Kota Bima,-8.474763734,118.6186198,,9.0,983693.0
Waingapu,,,,6.0,943533.0
Kab. Timor Tengah Selatan,-9.827955929,124.3967496,96.05,6.0,827381.0
Maumere,,,,6.0,647248.0
Kab. Ngada,-8.667527041,121.0011819,,5.0,318493.0
Kota Kupang,-9.918213565,123.8599569,42.06,9.0,940776.0
Kab. Ketapang,-1.633223953,110.6138741,,6.0,748268.0
Sintang,0.092636018,112.071524,,6.0,818807.0
Kab. Kayong Utara,-1.078590991,110.1137399,,6.0,555921.0
Kota Pontianak,,,,9.0,848853.0
Kota Singkawang,,,,9.0,801651.0
Sampit,,,,6.0,863526.0
Kab. Kapuas,-1.747850123,114.2980251,,6.0,962445.0
Kab. Sukamara,-2.623038982,111.160905,,5.0,450962.0
Kota Palangkaraya,,,,9.0,902654.0
Kab. Tanah Laut,-3.818820581,114.9033904,,6.0,720547.0
Kotabaru,,,,9.0,709930.0
Kab. Hulu Sungai Tengah,-2.603491542,115.5021349,,6.0,803941.0
Tanjung,,,,6.0,906904.0
Kota Banjarmasin,,,,10.0,1200000.0
Kab. Berau,1.928384072,117.3037789,,8.0,1577187.0
Kab. Penajam Paser Utara,-1.156951336,116.5967516,,5.0,496692.0
Kota Balikpapan,,,,11.0,1914694.0
Kota Samarinda,,,,10.0,1240375.0
Tanjung Selor,,,,6.0,996021.0
Kab. Nunukan,3.99460807,116.6630141,,6.0,538810.0
Kota Tarakan,,,,9.0,572034.0
Kab. Minahasa Selatan,1.084592217,124.5210499,,5.0,231531.0
Kab. Minahasa Utara,1.549139496,125.0080532,,6.0,532014.0
Kota Manado,,,,10.0,1208529.0
Kota Kotamobagu,,,,9.0,785050.0
Luwuk,,,,6.0,542399.0
Kab. Morowali,-2.6938583,121.9135837,,6.0,789623.0
Kab. Toli Toli,0.926010771,120.7189228,,5.0,331635.0
Kota Palu,,,,10.0,1447871.0
Bulukumba,-5.432469149,120.2360065,,6.0,579883.0
Watampone,,,,5.0,465034.0
Kab. Wajo,-4.006537658,120.1710001,,5.0,338067.0
Kab. Sidenreng Rappang,-3.807290296,119.9714267,,6.0,601231.0
Kab. Luwu Timur,-2.550678202,121.1385186,,6.0,890168.0
Kota Makassar,,,,9.0,689217.0
Kota Pare Pare,,,,9.0,555044.0
Kota Palopo,,,,9.0,518840.0
Kab. Konawe,-3.525394131,121.8861579,,6.0,592418.0
Kab. Kolaka,-3.921663585,121.5045822,,6.0,720415.0
Kota Kendari,,,,9.0,813060.0
Kota Bau Bau,,,,9.0,640114.0
Kab. Gorontalo,0.693794713,122.7107579,42.03,7.0,1459463.0
Kota Gorontalo,0.693794713,122.7107579,42.03,10.0,1093380.0
Kab. Majene,,,,6.0,788060.0
Mamuju,-2.530675138,119.3249674,0.01,6.0,964360.0
