kabupaten_kota,provinsi,latitude,longitude,sewa_aktual,sewa_prediksi,residual,coef_rumah_layak_huni,coef_ketahanan_bangunan,coef_luas_lantai_7_2,coef_akses_air_minum,coef_akses_sanitasi,coef_cuci_tangan,coef_status_milik_sendiri,coef_status_kontrak_sewa,coef_listrik_pln,coef_latitude,coef_longitude
Simeulue,Aceh,2.61330075393744,96.0856764991656,4586.0,1311.6114947782153,3274.3885052217847,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Singkil,Aceh,2.349932873671207,97.84708811266565,4586.0,1772.7008761757243,2813.2991238242757,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Selatan,Aceh,3.162864197205998,97.43535097868704,4586.0,1435.126093062976,3150.873906937024,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Tenggara,Aceh,3.369588141375133,97.69553624399175,4586.0,1428.114568078916,3157.885431921084,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Timur,Aceh,4.628775218253062,97.62863899191314,4586.0,1028.5606245538402,3557.43937544616,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Tengah,Aceh,4.529983163965492,96.85903292978816,4586.0,892.5055932591968,3693.4944067408032,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Barat,Aceh,4.456642791653158,96.18545294650336,4586.0,769.4124697635125,3816.5875302364875,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Aceh Besar,Aceh,5.37993835388722,95.51560772870164,4586.0,342.321889107232,4243.678110892768,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Pidie,Aceh,5.06823430261328,96.00719580581875,4586.0,543.8560768549723,4042.1439231450277,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
Bireuen,Aceh,5.093660197110013,96.60626620483842,4586.0,665.5056743660716,3920.4943256339284,-8667.489275497333,6969.02905630346,798.6555045709683,4350.4851201842175,3541.1012111430596,193.46031422660144,1625.983576646565,8160.550685779669,-781.6709025129828,-305.83317436332754,216.0441907125769
